file,id,title
note/2전극 EIS.md,EIS_TWO_ELECTRODE,2전극 EIS
note/3전극 EIS.md,EIS_THREE_ELECTRODE,3전극 EIS
note/4전극 EIS.md,EIS_FOUR_ELECTRODE,4전극 EIS
note/CPE 유효 정전용량.md,EIS_CPE_EFFECTIVE_CAPACITANCE,CPE 유효 정전용량
note/CPE 지수.md,EIS_CPE_EXPONENT,CPE 지수
note/DRT 경계 효과.md,EIS_DRT_BOUNDARY_EFFECT,DRT 경계 효과
note/DRT 불확실성.md,EIS_DRT_UNCERTAINTY,DRT 불확실성
note/DRT 선도.md,EIS_DRT_PLOT,DRT 선도
note/DRT 정칙화.md,EIS_DRT_REGULARIZATION,DRT 정칙화
note/DRT 커널 함수.md,EIS_DRT_KERNEL,DRT 커널 함수
note/DRT 해상도.md,EIS_DRT_RESOLUTION,DRT 해상도
note/EIS 기계 학습.md,EIS_MACHINE_LEARNING,EIS 기계 학습
note/EIS 데이터 전처리.md,EIS_PREPROCESSING,EIS 데이터 전처리
note/EIS 매개변수 회귀.md,EIS_PARAMETER_REGRESSION,EIS 매개변수 회귀
note/EIS 메타데이터.md,EIS_METADATA,EIS 메타데이터
note/EIS 모델 비교.md,EIS_MODEL_COMPARISON,EIS 모델 비교
note/EIS 모델 식별가능성.md,EIS_MODEL_IDENTIFIABILITY,EIS 모델 식별가능성
note/EIS 분포 이동.md,EIS_DOMAIN_SHIFT,EIS 분포 이동
note/EIS 선형성.md,EIS_LINEARITY,EIS 선형성
note/EIS 셀 구성.md,EIS_CELL_CONFIGURATION,EIS 셀 구성
note/EIS 이상치.md,EIS_OUTLIER,EIS 이상치
note/EIS 잔차 가중.md,EIS_WEIGHTING,EIS 잔차 가중
note/EIS 잡음.md,EIS_NOISE,EIS 잡음
note/EIS 재현성.md,EIS_REPRODUCIBILITY,EIS 재현성
note/EIS 정상성.md,EIS_STATIONARITY,EIS 정상성
note/EIS 최소 보고 항목.md,EIS_MINIMUM_REPORTING,EIS 최소 보고 항목
note/EIS 측정 시간.md,EIS_ACQUISITION_TIME,EIS 측정 시간
note/L-곡선.md,EIS_L_CURVE,L-곡선
note/L1 정칙화.md,EIS_L1_REGULARIZATION,L1 정칙화
note/RC 사다리 회로.md,EIS_RC_LADDER,RC 사다리 회로
note/R–CPE 모델.md,EIS_R_CPE_MODEL,R–CPE 모델
note/Z-HIT.md,EIS_ZHIT,Z-HIT
note/각주파수.md,EIS_ANGULAR_FREQUENCY,각주파수
note/개방회로 EIS.md,EIS_OCP_MEASUREMENT,개방회로 EIS
note/게리셔 임피던스.md,EIS_GERISCHER,게리셔 임피던스
note/계면 전하 이동.md,EIS_CHARGE_TRANSFER,계면 전하 이동
note/계면막 임피던스 모델.md,EIS_FILM_MODEL,계면막 임피던스 모델
note/계면막.md,EIS_INTERFACIAL_FILM,계면막
note/계의 변화 시간척도.md,EIS_SYSTEM_EVOLUTION_TIME,계의 변화 시간척도
note/계측기 대역폭.md,EIS_INSTRUMENT_BANDWIDTH,계측기 대역폭
note/고주파 계측 왜곡.md,EIS_HIGH_FREQUENCY_ARTIFACT,고주파 계측 왜곡
note/고체 내 확산.md,EIS_SOLID_STATE_DIFFUSION,고체 내 확산
note/고체 전해질 EIS.md,EIS_SOLID_ELECTROLYTE_APPLICATION,고체 전해질 EIS
note/과도한 매개변수화.md,EIS_OVERPARAMETERIZATION,과도한 매개변수화
note/과적합.md,EIS_OVERFITTING,과적합
note/광대역 자극.md,EIS_BROADBAND_EXCITATION,광대역 자극
note/교류 전류 응답.md,EIS_CURRENT_RESPONSE,교류 전류 응답
note/교류 전압 응답.md,EIS_VOLTAGE_RESPONSE,교류 전압 응답
note/교환 전류 밀도.md,EIS_EXCHANGE_CURRENT,교환 전류 밀도
note/구조적 식별가능성.md,EIS_STRUCTURAL_IDENTIFIABILITY,구조적 식별가능성
note/기생 인덕턴스 왜곡.md,EIS_INDUCTIVE_ARTIFACT,기생 인덕턴스 왜곡
note/기생 정전용량.md,EIS_STRAY_CAPACITANCE,기생 정전용량
note/기준 전극 위치.md,EIS_REFERENCE_PLACEMENT,기준 전극 위치
note/기준 전극.md,EIS_REFERENCE_ELECTRODE,기준 전극
note/나이퀴스트 선도.md,EIS_NYQUIST_PLOT,나이퀴스트 선도
note/능동 주파수 선택.md,EIS_ACTIVE_FREQUENCY_SELECTION,능동 주파수 선택
note/다공성 전극 수송.md,EIS_POROUS_ELECTRODE_TRANSPORT,다공성 전극 수송
note/다공성 전극 전송선 모델.md,EIS_POROUS_TLM,다공성 전극 전송선 모델
note/다중 사인 EIS.md,EIS_MULTISINE,다중 사인 EIS
note/단일 사인 EIS.md,EIS_SINGLE_SINE,단일 사인 EIS
note/도막 EIS.md,EIS_COATING_APPLICATION,도막 EIS
note/동적 EIS.md,EIS_DYNAMIC_EIS,동적 EIS
note/동적 안정성.md,EIS_STABILITY,동적 안정성
note/등가회로 모델.md,EIS_EQUIVALENT_CIRCUIT,등가회로 모델
note/등가회로 분류.md,EIS_CIRCUIT_CLASSIFICATION,등가회로 분류
note/랜들스 회로.md,EIS_RANDLES_CIRCUIT,랜들스 회로
note/매개변수 경계.md,EIS_PARAMETER_BOUNDS,매개변수 경계
note/매개변수 공분산.md,EIS_COVARIANCE,매개변수 공분산
note/매개변수 상관.md,EIS_PARAMETER_CORRELATION,매개변수 상관
note/매개변수 신뢰구간.md,EIS_CONFIDENCE_INTERVAL,매개변수 신뢰구간
note/모의 셀 검사.md,EIS_DUMMY_CELL,모의 셀 검사
note/물리 기반 임피던스 모델.md,EIS_PHYSICS_BASED_MODEL,물리 기반 임피던스 모델
note/물리 유도형 EIS 기계 학습.md,EIS_PHYSICS_GUIDED_ML,물리 유도형 EIS 기계 학습
note/물질 전달.md,EIS_MASS_TRANSPORT,물질 전달
