id,title,title_en,type,domain,status,file
EIS_TWO_ELECTRODE,2전극 EIS,Two-electrode EIS,MeasurementConfiguration,measurement,reviewed,note/2전극 EIS.md
EIS_THREE_ELECTRODE,3전극 EIS,Three-electrode EIS,MeasurementConfiguration,measurement,core-reviewed,note/3전극 EIS.md
EIS_FOUR_ELECTRODE,4전극 EIS,Four-electrode EIS,MeasurementConfiguration,measurement,reviewed,note/4전극 EIS.md
EIS_CPE_EFFECTIVE_CAPACITANCE,CPE 유효 정전용량,Effective capacitance of a CPE,ModelParameter,elements,reviewed,note/CPE 유효 정전용량.md
EIS_CPE_EXPONENT,CPE 지수,CPE exponent,ModelParameter,elements,reviewed,note/CPE 지수.md
EIS_DRT_BOUNDARY_EFFECT,DRT 경계 효과,DRT boundary effect,Artifact,analysis,reviewed,note/DRT 경계 효과.md
EIS_DRT_UNCERTAINTY,DRT 불확실성,DRT uncertainty,AnalysisOutput,analysis,reviewed,note/DRT 불확실성.md
EIS_DRT_PLOT,DRT 선도,DRT plot,DataRepresentation,representations,reviewed,note/DRT 선도.md
EIS_DRT_REGULARIZATION,DRT 정칙화,DRT regularization,AnalysisMethod,analysis,core-reviewed,note/DRT 정칙화.md
EIS_DRT_KERNEL,DRT 커널 함수,DRT kernel,MathematicalObject,analysis,reviewed,note/DRT 커널 함수.md
EIS_DRT_RESOLUTION,DRT 해상도,DRT resolution,AnalysisConcept,analysis,core-reviewed,note/DRT 해상도.md
EIS_MACHINE_LEARNING,EIS 기계 학습,Machine learning for EIS,AnalysisMethod,analysis,core-reviewed,note/EIS 기계 학습.md
EIS_PREPROCESSING,EIS 데이터 전처리,EIS data preprocessing,AnalysisMethod,analysis,reviewed,note/EIS 데이터 전처리.md
EIS_PARAMETER_REGRESSION,EIS 매개변수 회귀,EIS parameter regression,AnalysisMethod,analysis,reviewed,note/EIS 매개변수 회귀.md
EIS_METADATA,EIS 메타데이터,EIS metadata,DataStructure,applications,reviewed,note/EIS 메타데이터.md
EIS_MODEL_COMPARISON,EIS 모델 비교,EIS model comparison,AnalysisMethod,analysis,core-reviewed,note/EIS 모델 비교.md
EIS_MODEL_IDENTIFIABILITY,EIS 모델 식별가능성,EIS model identifiability,AnalysisConcept,analysis,core-reviewed,note/EIS 모델 식별가능성.md
EIS_DOMAIN_SHIFT,EIS 분포 이동,EIS domain shift,Limitation,analysis,core-reviewed,note/EIS 분포 이동.md
EIS_LINEARITY,EIS 선형성,EIS linearity,ValidationCriterion,validation,core-reviewed,note/EIS 선형성.md
EIS_CELL_CONFIGURATION,EIS 셀 구성,EIS cell configuration,Concept,measurement,reviewed,note/EIS 셀 구성.md
EIS_OUTLIER,EIS 이상치,EIS outlier,Artifact,validation,reviewed,note/EIS 이상치.md
EIS_WEIGHTING,EIS 잔차 가중,EIS residual weighting,AnalysisMethod,analysis,reviewed,note/EIS 잔차 가중.md
EIS_NOISE,EIS 잡음,EIS noise,Artifact,validation,reviewed,note/EIS 잡음.md
EIS_REPRODUCIBILITY,EIS 재현성,EIS reproducibility,QualityAttribute,applications,core-reviewed,note/EIS 재현성.md
EIS_STATIONARITY,EIS 정상성,EIS stationarity,ValidationCriterion,validation,core-reviewed,note/EIS 정상성.md
EIS_MINIMUM_REPORTING,EIS 최소 보고 항목,Minimum reporting items for EIS,ReportingStandard,applications,core-reviewed,note/EIS 최소 보고 항목.md
EIS_ACQUISITION_TIME,EIS 측정 시간,EIS acquisition time,PhysicalQuantity,measurement,core-reviewed,note/EIS 측정 시간.md
EIS_L_CURVE,L-곡선,L-curve,AnalysisMethod,analysis,reviewed,note/L-곡선.md
EIS_L1_REGULARIZATION,L1 정칙화,L1 regularization,AnalysisMethod,analysis,reviewed,note/L1 정칙화.md
EIS_RC_LADDER,RC 사다리 회로,RC ladder,CircuitModel,elements,reviewed,note/RC 사다리 회로.md
EIS_R_CPE_MODEL,R–CPE 모델,R-CPE model,CircuitModel,models,reviewed,note/R–CPE 모델.md
EIS_ZHIT,Z-HIT,Z-HIT,ValidationMethod,validation,reviewed,note/Z-HIT.md
EIS_ANGULAR_FREQUENCY,각주파수,Angular frequency,PhysicalQuantity,foundations,reviewed,note/각주파수.md
EIS_OCP_MEASUREMENT,개방회로 EIS,Open-circuit EIS,MeasurementMethod,measurement,reviewed,note/개방회로 EIS.md
EIS_GERISCHER,게리셔 임피던스,Gerischer impedance,CircuitElement,elements,reviewed,note/게리셔 임피던스.md
EIS_CHARGE_TRANSFER,계면 전하 이동,Interfacial charge transfer,Process,processes,core-reviewed,note/계면 전하 이동.md
EIS_FILM_MODEL,계면막 임피던스 모델,Interfacial-film impedance model,PhysicalModel,models,reviewed,note/계면막 임피던스 모델.md
EIS_INTERFACIAL_FILM,계면막,Interfacial film,Entity,processes,reviewed,note/계면막.md
EIS_SYSTEM_EVOLUTION_TIME,계의 변화 시간척도,System-evolution timescale,PhysicalQuantity,measurement,reviewed,note/계의 변화 시간척도.md
EIS_INSTRUMENT_BANDWIDTH,계측기 대역폭,Instrument bandwidth,Condition,measurement,core-reviewed,note/계측기 대역폭.md
EIS_HIGH_FREQUENCY_ARTIFACT,고주파 계측 왜곡,High-frequency instrumentation artifact,Artifact,validation,core-reviewed,note/고주파 계측 왜곡.md
EIS_SOLID_STATE_DIFFUSION,고체 내 확산,Solid-state diffusion,Process,processes,reviewed,note/고체 내 확산.md
EIS_SOLID_ELECTROLYTE_APPLICATION,고체 전해질 EIS,Solid-electrolyte EIS,Application,applications,reviewed,note/고체 전해질 EIS.md
EIS_OVERPARAMETERIZATION,과도한 매개변수화,Overparameterization,AnalysisConcept,analysis,reviewed,note/과도한 매개변수화.md
EIS_OVERFITTING,과적합,Overfitting,AnalysisConcept,analysis,reviewed,note/과적합.md
EIS_BROADBAND_EXCITATION,광대역 자극,Broadband excitation,MeasurementMethod,measurement,reviewed,note/광대역 자극.md
EIS_CURRENT_RESPONSE,교류 전류 응답,AC current response,Observable,principles,reviewed,note/교류 전류 응답.md
EIS_VOLTAGE_RESPONSE,교류 전압 응답,AC voltage response,Observable,principles,reviewed,note/교류 전압 응답.md
EIS_EXCHANGE_CURRENT,교환 전류 밀도,Exchange current density,KineticQuantity,processes,reviewed,note/교환 전류 밀도.md
EIS_STRUCTURAL_IDENTIFIABILITY,구조적 식별가능성,Structural identifiability,AnalysisConcept,analysis,reviewed,note/구조적 식별가능성.md
EIS_INDUCTIVE_ARTIFACT,기생 인덕턴스 왜곡,Parasitic inductive artifact,Artifact,validation,reviewed,note/기생 인덕턴스 왜곡.md
EIS_STRAY_CAPACITANCE,기생 정전용량,Stray capacitance,Artifact,validation,reviewed,note/기생 정전용량.md
